Region,Destination Country,lat,lon,,
"22001, ARKADIAS, ΑΣΤΡΟΣ",GREECE,37.3926983,22.6795983,,
"85100, DODECANESE GREECE, ΡΟΔΟΣ",GREECE,36.4251725,28.2179809,,
"85400, DODECANESE GREECE, ΛΕΡΟΣ",GREECE,37.1384711,26.8590033,,
"21200, ARGOLIDAS, ΑΡΓΟΣ",GREECE,37.5950122,22.7721433,,
SOFIA,BULGARIA,42.6977028,23.3217359,,
"14565, ATTIKI, ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ",GREECE,38.1404062,23.860035,,
"18546, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9593219,23.6329461,,
"13123, ATTIKI, ΙΛΙΟΝ",GREECE,38.0366944,23.6973051,,
"13561, ATTIKI, ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ",GREECE,38.0253147,23.7188085,,
"16674, ATTIKI, ΓΛΥΦΑΔΑ",GREECE,37.8670236,23.7565796,,
"21300, ARGOLIDAS, ΚΡΑΝΙΔΙ",GREECE,37.374947,23.1538332,,
"33200, FOKIDA, ΙΤΕΑ FOKIDA",GREECE,38.4334754,22.4239321,,
"17672, ATTIKI, ΚΑΛΛΙΘΕΑ",GREECE,37.954464,23.7070395,,
"54623, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965,,
"54638, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965,,
"84503, CYCLADES, ΑΝΔΡΟΣ",GREECE,37.8839,24.7366,,
"58300, PELLA GREECE, ΚΡΥΑ ΒΡΥΣΗ",GREECE,40.3886474,22.7005217,,
"57013, THESSALONIKI, ΩΡΑΙΟΚΑΣΤΡΟ",GREECE,40.7220554,22.9158324,,
"14562, ATTIKI, ΚΗΦΙΣΙΑ",GREECE,38.0723704,23.8144451,,
"18534, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9412279,23.6521994,,
"70400, HERAKLION CRETE, ΜΟΙΡΕΣ",GREECE,35.0509009,24.8748635,,
"54351, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965,,
"67100, XANTHI, ΞΑΝΘΗ",GREECE,41.1409695,24.8878327,,
"43131, KARDITSA, ΚΑΡΔΙΤΣΑ",GREECE,39.3755802,21.9215829,,
"56122, THESSALONIKI, ΜΕΝΕΜΕΝΗ",GREECE,40.6569526,22.9130133,,
"18451, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.974156,23.6384758,,
"57200, THESSALONIKI, ΛΑΓΚΑΔΑΣ",GREECE,40.7499952,23.0667613,,
"13344, ATTIKI, ΑΝΩ ΛΙΟΣΙΑ",GREECE,38.0742515,23.6884009,,
"17778, ATTIKI, ΤΑΥΡΟΣ",GREECE,37.9624859,23.7034811,,
"35003, FTHIOTIDA, ΣΠΕΡΧΕΙΑΔΑ",GREECE,38.9093329,22.124911,,
"19016, ATTIKI, ΑΡΤΕΜΙΣ",GREECE,37.990196,24.0203791,,
"70007, HERAKLION CRETE, ΜΑΛΙΑ",GREECE,35.2875037,25.4583988,,
"14342, ATTIKI, ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",GREECE,38.045036,23.7416144,,
"17676, ATTIKI, ΚΑΛΛΙΘΕΑ",GREECE,37.9596188,23.7023827,,
"18541, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9541294,23.6609156,,
"68500, ALEXANDROUPOLI, ΦΕΡΕΣ",GREECE,40.8950967,26.1704144,,
"71303, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3418789,25.1316096,,
"30200, AITOLOAKARNANIAS, ΜΕΣΟΛΟΓΓΙ",GREECE,38.3830731,21.4428707,,
"64002, KAVALA GREECE, ΛΙΜΕΝΑΡΙΑ",GREECE,40.6335121,24.6047592,,
"59100, IMATHIA, ΒΕΡΟΙΑ",GREECE,40.5184295,22.2175789,,
"38221, VOLOS, ΒΟΛΟΣ",GREECE,39.3625642,22.9509159,,
"82100, CHIOS, ΧΙΟΣ",GREECE,38.3481591,26.1257716,,
"20400, KORINTHOS, ΞΥΛΟΚΑΣΤΡΟ",GREECE,38.0741569,22.6121184,,
"40300, LARISSA, ΦΑΡΣΑΛΑ",GREECE,39.3120385,22.4328281,,
"71601, HERAKLION CRETE, Ν.ΑΛΙΚΑΡΝΑΣΣΟΣ",GREECE,35.3391048,25.1541173,,
"16344, ATTIKI, ΗΛΙΟΥΠΟΛΗ",GREECE,37.9459923,23.7611446,,
"20200, KORINTHOS, ΚΙΑΤΟ",GREECE,38.0139838,22.7348102,,
"18543, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9588334,23.6457149,,
"10554, ATTIKI, ΨΥΡΡΗ",GREECE,37.9729223,23.7331961,,
"34009, EVOIA, ΑΥΛΩΝΑΡΙ",GREECE,38.5029388,24.1240195,,
"38222, VOLOS, ΒΟΛΟΣ",GREECE,39.3571188,22.9623827,,
"84600, CYCLADES, ΜΥΚΟΝΟΣ",GREECE,37.44529,25.32872,,
"70300, HERAKLION CRETE, ΑΡΚΑΛΟΧΩΡΙ",GREECE,35.1553142,25.24819,,
"63085, HALKIDIKI, ΠΕΥΚΟΧΩΡΙ",GREECE,39.9901652,23.6077956,,
"62121, SERRES GREECE, ΣΕΡΡΕΣ",GREECE,41.0906888,23.5409449,,
"35004, FTHIOTIDA, ΕΛΑΤΕΙΑ",GREECE,38.617331,22.7829374,,
"12242, ATTIKI, ΑΙΓΑΛΕΩ",GREECE,37.9936418,23.6861277,,
"11143, ATTIKI, ΠΑΤΗΣΙΑ",GREECE,38.0231229,23.7362391,,
"14123, ATTIKI, ΗΡΑΚΛΕΙΟ - ATTIKI",GREECE,38.0582347,23.7713365,,
"13451, ATTIKI, ΚΑΜΑΤΕΡΟ",GREECE,38.0607776,23.7131258,,
"10444, ATTIKI, ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ",GREECE,37.9918423,23.7014918,,
"54249, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965,,
"26221, ACHAIA, ΠΑΤΡΑ",GREECE,38.2463009,21.7345804,,
"34008, EVOIA, ΕΡΕΤΡΙΑ",GREECE,38.3983774,23.7906438,,
"10442, ATTIKI, ΚΟΛΟΚΥΝΘΟΥ",GREECE,38.0047938,23.7017299,,
"55134, THESSALONIKI, ΚΑΛΑΜΑΡΙΑ",GREECE,40.583834,22.9663325,,
"70010, HERAKLION CRETE, ΠΥΡΓΟΣ HERAKLION CRETE",GREECE,35.0084353,25.15515,,
"43060, KARDITSA, ΜΟΥΖΑΚΙ",GREECE,39.4009388,21.6440609,,
"10433, ATTIKI, ΜΟΥΣΕΙΟ",GREECE,37.9908152,23.7304704,,
"14122, ATTIKI, ΗΡΑΚΛΕΙΟ - ATTIKI",GREECE,38.052293,23.7668995,,
"18010, PIRAEUS, ΑΙΓΙΝΑ",GREECE,37.7465135,23.427318,,
"65403, KAVALA GREECE, ΚΑΒΑΛΑ",GREECE,40.937607,24.4048801,,
"34003, EVOIA, ΚΥΜΗ",GREECE,38.611698,24.1141425,,
"52050, KASTORIA, ΜΕΣΟΠΟΤΑΜΙΑ",GREECE,40.5051432,21.1574722,,
"62400, SERRES GREECE, ΗΡΑΚΛΕΙΑ",GREECE,41.1505978,23.2846408,,
"55133, THESSALONIKI, ΚΑΛΑΜΑΡΙΑ",GREECE,40.583827,22.9577826,,
"14341, ATTIKI, ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",GREECE,38.0339865,23.7383702,,
"19500, ATTIKI, ΛΑΥΡΙΟ",GREECE,37.7140434,24.0551441,,
"30100, AITOLOAKARNANIAS, ΑΓΡΙΝΙΟ",GREECE,38.6682719,21.4188214,,
"71306, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286,,
"43200, KARDITSA, ΠΑΛΑΜΑΣ",GREECE,39.4730217,22.068437,,
"19019, ATTIKI, ΣΠΑΤΑ (ΕΛ.ΒΕΝΙΖΕΛΟΣ)",GREECE,37.9173241,23.9336433,,
"18020, PIRAEUS, ΠΟΡΟΣ ΤΡΟΙΖΗΝΙΑΣ",GREECE,37.5162071,23.3867976,,
"49083, CORFU, ΣΚΡΙΠΕΡΟ",GREECE,39.694078,19.7953084,,
"35013, FTHIOTIDA, ΠΕΛΑΣΓΙΑ",GREECE,38.941642,22.8648242,,
"85106, DODECANESE GREECE, ΠΑΡΑΔΕΙΣΙ",GREECE,36.3384903,28.0356576,,
"15235, ATTIKI, ΒΡΙΛΗΣΣΙΑ - ΧΑΛΑΝΔΡΙ",GREECE,38.0335251,23.8221692,,
"52200, KASTORIA, ΑΡΓΟΣ ΟΡΕΣΤΙΚΟ",GREECE,40.4271064,21.2244772,,
"57100, THESSALONIKI, ΚΟΥΦΑΛΙΑ",GREECE,40.7786437,22.5775615,,
"59031, IMATHIA, ΜΕΛΙΚΗ",GREECE,40.5187612,22.3965321,,
"23055, SPARTI, ΒΛΑΧΙΩΤΗΣ",GREECE,36.8573874,22.7383844,,
"17674, ATTIKI, ΚΑΛΛΙΘΕΑ",GREECE,37.9428973,23.6919043,,
"26226, ACHAIA, ΠΑΤΡΑ",GREECE,38.2420327,21.7404357,,
"58200, PELLA GREECE, ΕΔΕΣΣΑ",GREECE,40.8038049,22.037449,,
Attica,GREECE,37.87213,23.7975272,,
Xanthi,GREECE,41.13805,24.8864089,,
Ionian Islands,GREECE,37.7891385,20.7900896,,
Patra,GREECE,38.246242,21.7350847,,
Alexandroupoli,GREECE,40.845666,25.8778814,,
Larisa,GREECE,39.6383092,22.4160706,,
Piraeus,GREECE,37.9431594,23.6470593,,
Komotini,GREECE,41.1182,25.4035708,,
Ioannina,GREECE,39.6639818,20.8522784,,
Creta,GREECE,35.3084952,24.4633423,,
Kapuvar,HUNGARY,47.5936871,17.0274744,,
Komarom,HUNGARY,47.7417349,18.1218256,,
Paty,HUNGARY,47.5154504,18.8271695,,
SOFIA,BULGARIA,42.6977028,23.3217359,,
Yambol,BULGARIA,42.311889,26.5636852,,
MALTA,MALTA,35.9311442,14.3951627,,
LIMASSOL,CYPRUS,34.6852901,33.0332657,,
"ALMYROS, MAGNISIA",GREECE,39.1807614,22.7609792,,
TENEVO,BULGARIA,42.3491,26.5306699,,
"KILKIS, CENTRAL MACEDONIA",GREECE,40.9935874,22.8741455,,
Dolj,ROMANIA,44.2150123,23.669363,,
Dimbovita,ROMANIA,44.7677425,25.5620315,,
Giurgiu,ROMANIA,43.8961275,25.9656448,,
VALENCIA,SPAIN,39.4697065,-0.3763353,,
BUDAPEST,HUNGARY,47.4813896,19.1460941,,
FELIXSTOWE,UK,51.9642959,1.3289938,,
MERTZWILLER,FRANCE,48.8659947,7.6823034,,
PLOVDIV,BULGARIA,42.1418541,24.7499297,,
SAN BONIFACIO,ITALY,45.3956425,11.2700817,,
PRISTINA,KOSOVO,42.6638771,21.1640849,,
VENICE,ITALY,45.4371908,12.3345898,,
KOSOVO,KOSOVO,42.5869578,20.9021231,,
MERSIN,TURKEY,36.7978381,34.6298391,,
Lavrio,GREECE,37.7142551,24.0548015,,
Korinthos,GREECE,37.9385413,22.9273768,,
GDANSK,POLAND,54.4288032,18.798327,,
"19018, ATTIKI, ΜΑΓΟΥΛΑ",GREECE,38.0792129,23.5265654,,
2227,BULGARIA,42.7529835,23.1969411,,
2109,BULGARIA,42.6291047,23.5797707,,
71000,BOSNIA,43.8526257,18.3846154,,
1000,NORTH MACEDONIA,41.9983711,21.4201979,,
1584,BULGARIA,42.6542593,23.4009639,,
1528,BULGARIA,42.6671187,23.4091015,,
10090,CROATIA,45.8109599,15.8837425,,
1766,BULGARIA,42.6238334,23.3747901,,
1261,SLOVENIA,46.0346408,14.5907581,,
1582,BULGARIA,42.6481843,23.4060239,,
71210,BOSNIA,43.8285831,18.3065798,,
